ProductID;ProductName;Category;SubCategory;PricePerUnit;StockQuantity;SupplierID
2aa28375-c563-41b5-aa33-8e2c2e0f4db9;However Fruit;Fruits;Sub-Fruits-1;207;290;0658c953-98c4-4d00-bf29-4fbfe4aca4cd
e9282403-e234-4e35-a711-50acb03bbecc;Serve Snack;Snacks;Sub-Snacks-1;905;259;cb890936-8142-4fa3-ac60-2ecba78f8aa8
d79d1b95-ecdf-4810-aea0-45e9bd10627d;Rule Fruit;Fruits;Sub-Fruits-4;111;26;455b7097-b656-49b8-9cf2-a98d71d3ba88
05765892-c750-44cc-96e2-31fa53d42cb2;We Vegetable;Vegetables;Sub-Vegetables-1;887;296;a2ed0ef5-a6c8-4b51-ac6f-6209edf45a02
3bfb746e-f1e6-4946-a314-7d9119fd950d;Character Baker;Bakery;Sub-Bakery-3;961;127;16c44a77-d01f-4154-a7b7-1f5b5dee4255
11dc08ec-ef6f-43d0-abaa-414a9c336956;Door Vegetable;Vegetables;Sub-Vegetables-4;50;19;92bedb68-2b59-4cb3-9520-fec1256dfa04
e5bdb329-60d3-4673-8782-1ab101f98187;Choose Dair;Dairy;Sub-Dairy-1;604;126;20e7f27c-8f08-46b3-950f-2c0bbf56722d
9747fd32-5076-46c3-90b4-5f404b86b219;Nothing Fruit;Fruits;Sub-Fruits-4;6;306;eafcc3e7-83b3-4392-b278-1cc6efc9a2a2
9d82e469-12e6-4fd6-9a41-837ac63c1d2b;Prepare Dair;Dairy;Sub-Dairy-2;131;322;1d344858-3396-49cf-be1a-6fe391841b4b
e4c3f640-fa46-4510-8f45-32df79fcaec4;Him Mea;Meat;Sub-Meat-1;169;451;1acc6cf8-0309-4b0c-88d2-8d58807168eb
b8a16df8-38c0-462d-888d-9c5e42704267;Difference Vegetable;Vegetables;Sub-Vegetables-1;766;265;36f49379-ba01-499f-be3c-ddfd8a6eda41
37cc1e52-274c-4fd2-bc0e-d0506c57973b;Election Mea;Meat;Sub-Meat-2;302;326;561d6fbf-83fd-40b1-8310-4e546ae02e94
3233bde0-ced5-42e6-94c3-70502e4fd8c8;Close Vegetable;Vegetables;Sub-Vegetables-1;628;48;41db1f38-77cd-462c-8482-63c48292e4e8
497662c1-bcb6-4b85-8368-1bfb152f54fe;Until Fruit;Fruits;Sub-Fruits-2;604;329;5b23a9d0-8fe9-480c-a70d-4fbf31e0ed8a
