ReviewID;ProductID;CustomerID;Rating;ReviewText
59c324ed-7140-4064-8152-fc1adadeabce;dd10a4a8-e47f-4f6e-b9eb-27e63a21e236;a4112674-617e-4aa0-9faf-a13ca1f02812;2;Standard parent cut us.
3cb96884-6df0-4562-bec0-2ee5b691f9a4;0bc30906-239e-45f9-ac56-da421ac3e71d;33dcdb93-1c96-45e0-9770-1ff8048159f3;2;During new lead right heavy society.
12d50be3-0ce1-4050-96c0-ddebfaf7038e;0d5eb025-1830-4bc1-9783-ea5680bf774b;e8a79bc5-eada-4a94-944f-fed36c51e5a9;3;Number have our way.
19302e0e-944b-4028-8458-cb7eb6476244;0629219f-2176-40d7-8765-4aa1024cf4ac;5d143e69-c5df-49d7-b3ba-01abc8fcbc5b;3;Condition firm perhaps color tell fire wrong.
9c8509eb-e5b3-4fc0-be2f-3f3f3120c061;16afe3ad-9f99-4d55-872c-770517390636;993fa60b-ecaf-464f-a754-8194c2e75847;1;Buy not bar amount city life someone.
189c1456-817f-44c1-bfe2-370acd4da63f;a6e1bfdd-604b-4632-b6a1-123863a3fce1;bab49818-5201-4c8b-b260-91d0fb9194fc;4;Whether college data consumer listen personal season.
7e49179d-e8eb-494e-a481-88674e5fc158;9b29140e-246a-47aa-af80-f6b80b3fca47;c077aa34-00c4-40b2-8870-e5866d4c9a98;5;Throughout too story maintain.
2cb50f56-d14c-47dd-9dae-caa207310fad;f8aa9098-747a-4324-b769-501d0f614286;6abb74db-00ad-4e64-af26-b7c25e50918a;5;Education PM if everything agency approach.
97d101a1-0bf4-44bb-8e89-9e2a9b52012c;290d2f8c-f92a-451a-b9c9-bff2c259a987;68ec07ff-c21f-4b44-b55f-69f5f05caaf7;5;Big see show wall.
a621b605-9f29-43fc-99c3-6c31f95088cf;227a27e8-1737-45e6-a532-dc56eff6ef0f;c672e077-81d3-4cf7-976a-44b5d8580cf4;2;Capital show sing surface task when.
343b2c66-3517-4df7-987e-aebf6038423c;55a3d70a-c3c4-4a51-af63-ca3cc04eb799;6b5007fc-9882-4826-8339-7d96acc84618;5;Clearly add today work.
c32e4f7f-8b09-4e8c-983f-0885a3e3384c;2ddc2db8-9eef-4622-8860-c9771dbcc6d9;b563a5f5-7b75-48ba-a21d-2780b2c6de7c;2;Main public put specific eight agency.
642233d9-b58b-4243-a3d2-6deb345d356f;78afc4e8-2016-47d9-88e3-658ddd4d67fb;0282fb1f-8cee-44d2-9a13-164de0b93daa;3;But national hospital court grow federal.
6dda3b84-f06e-48e4-934d-9e15d11a0251;dc685ac6-2c31-46a4-a684-c536da80ebf2;d497d322-c78b-4c46-a63e-4e684172f1dc;5;Author face oil very at five security.
cea29ea5-3805-4f01-887f-c0f2d429b96a;c451421b-af94-4ff5-8cbb-f2b436641ea4;9dbf19e4-2148-4898-bef4-f59f65589a60;3;Million response fear lawyer material own only.
d7ac9dcc-7ee8-4261-800b-4a554526a6ec;74eeaee8-44dc-44f9-bfda-a6f3f872f646;5f99d8f3-27ad-4a47-869a-1cf2c607804f;2;Knowledge able able look region.
bfd3922e-669b-4fa3-8ac0-28dfc8d25564;974a29ca-94eb-4f84-8f3e-2fe92887a269;4331c5fa-0c04-4383-82b1-e30894c79faa;3;Try own these.
d2f9d4d1-e41e-46c7-91b9-97421a038534;d8ce4513-2a05-4e39-bd66-30523863d3d4;2e851a9d-2c1e-44a7-8797-4f338abc4938;5;Attack glass stock free stop.
dd3c33d2-b953-499b-a1e2-1cafca34ea69;d0f30365-6ccf-4a43-9e95-0d785650e753;9209b661-e487-439d-b3ec-48ff378f18ca;2;Why dream system.
ea998fbe-6f50-43e3-8a17-8476cc154785;f0f8fa16-6143-4873-9c42-0d01ca73c906;dbaa4dd7-25ca-4439-95a0-fa0d42021e80;4;Professional region any about record likely someone during.
4fd55e56-dd02-4de3-a826-75e904dbf932;7319949a-95d6-4a41-aff1-cbb1599644ea;8ec0c796-1dc7-4ac3-ac22-4f3cdaed07df;3;Cell others door window.
baa9b9ea-7242-4d5d-8119-f08b9f180979;3f021fba-b86a-4112-ac5f-d04ef7e1bcc7;cb4bcf8b-f6e6-41e5-a480-9714d392c485;3;Physical weight page leg authority figure nothing.
ee1844b4-a2a0-4ac2-93e7-393cacccdad4;f00bcbec-2092-4844-879c-7e8ea52f56f6;1cf80a49-16ac-43ca-ab50-fa33cb1b790a;1;Population game parent almost always prepare military law.
e20b4e2a-0013-4440-aa58-7010dabd182e;08794c01-b9d4-4d01-a486-9fa78e1a0929;9336eb9a-88fa-4bf6-80bb-5de185511783;5;Score set raise road box chance.
5f55c620-fc22-47f7-9746-103812995ab7;2b3faef0-ce64-475f-8e18-8249eda49f7b;bab49818-5201-4c8b-b260-91d0fb9194fc;5;Blood many Mr push.
