OrderID;CustomerID;OrderDate;OrderAmount;DeliveryFee;DiscountApplied
ebdedb32-7d5a-4eb0-8d55-3ebbb5c1843e;96ed9663-7e5c-4c11-bbf9-c8ccb4c111d7;2025-01-01;4499;321;81
b0861eca-881e-46d9-83ad-52aeb561eb5f;30343466-e080-417e-a943-24c1f1a4d7ec;2025-01-01;5737;516;25
bba11cde-e171-4c4b-a591-588828253c2d;e9f4a201-c9fc-4c0e-80b5-edc3d6b377c5;2025-01-01;2902;206;69
f84785ef-c3e9-49f3-bc20-05ecfb485950;4cfc95de-7f43-4a51-b03c-dfa053a704ff;2025-01-01;5333;542;61
8cd57e17-9cf5-496f-a7e9-2450c2396176;634066a1-4d23-4298-8ff8-ede938a1c980;2025-01-01;895;589;4
632ed5d4-5d0b-48f6-bf4b-50c38a02880b;e5848e67-7f43-4119-bf0a-e19c90d2f183;2025-01-01;6954;193;27
3db341a1-cd22-4d46-9f9c-2a27b02b56db;af052620-cc51-4dd9-ad52-577739029aa7;2025-01-01;4309;611;71
08b9e48d-eef7-4db4-82b1-711be6bb3888;e422acaf-9fa9-4f6f-819f-5addbac28601;2025-01-01;144;346;33
148f7a9d-a1db-4901-8ad1-187e5563394d;8ffdafd3-9d97-4561-9eab-efb8fd024aef;2025-01-01;2741;249;64
f3bc40a4-bbba-4a70-bf54-f01993fd3b0a;6b1ff9b0-9981-42a3-ab90-9e035b5fd79c;2025-01-01;156;918;89
29eaca94-2944-4d08-9734-b56af281607d;d9169a3d-d07f-4edd-b1d4-bb32baa23405;2025-01-01;1793;499;68
d7ba38fd-347d-4fc5-b37e-79626664a226;9313e4d6-2d4f-495a-b72c-6c8039a9a985;2025-01-01;3506;71;11
64f58d67-e5a3-4c0a-a48f-b40a8f15f43a;11c5d2f4-1a7d-4a15-9a0c-461d4ea14ef3;2025-01-01;9602;964;22
a194f232-ece0-44ee-ba29-e6695f082b40;1c209f10-6357-4ca1-9e2a-67a0ea78ed4f;2025-01-01;9937;60;99
6e361220-9366-4584-a59c-1ed8625280ef;442cb36c-eb4a-4cb5-a483-27b0a596b920;2025-01-01;7344;117;5
1c40a38f-c131-418b-95ff-a0d8dfb6fad9;b5cc4593-58c5-4acd-a355-253f2fe06d1a;2025-01-01;4253;788;74
2ffa94f6-c88c-4765-9166-5a636269d37b;08bb6921-998c-4b72-b416-d340b1556bbd;2025-01-01;3343;32;45
60cdb549-e316-4f45-966c-13fff196eb0a;e5f33d34-6eba-4421-92b4-30cb705a5b31;2025-01-01;7817;541;61
3058d72e-933c-4ef4-9e6b-760270535ad3;2d484fba-3d74-471b-937f-524623a0e9fc;2025-01-01;9673;589;84
6503aad8-cd54-43cf-ba5a-e728522cbb06;74981e41-0431-4a8f-a6d9-d65858382127;2025-01-01;5893;264;69
5ca36f0a-17d0-4bc5-8739-839612e91b64;ae7392fb-cafc-4fe5-a527-c7a102cb9d0b;2025-01-01;4571;601;11
1dd567c2-13e1-47c3-9d5f-394a553e1533;9209b661-e487-439d-b3ec-48ff378f18ca;2025-01-01;2163;85;42
73782551-8e3b-4764-94c9-b857ec0920ad;412485af-3a3f-444b-9afd-70939627e7ae;2025-01-01;3831;830;92
fb21305b-72f6-4513-93c5-703094a645f2;d41c8a7f-9c1f-4590-80ce-8e672cbfdd8b;2025-01-01;3095;574;10
cebcfb34-9853-4581-9bab-6d69f36c86ea;2f73a6d5-2ebc-4e3f-86ba-0582b8418559;2025-01-01;9453;342;95
90c00007-19b9-47b7-b6bf-445fa9160040;e7704cfa-8015-4256-9de5-2846a7b14c44;2025-01-01;8903;345;55
0f296b84-13b6-46f0-8b4e-5e1972f80c79;f2510abd-bc56-462d-8393-781e97e956a5;2025-01-01;4666;8;79
996330d4-78e9-4ad3-b220-00b420873805;64c77275-40e3-4fdf-b4f9-ab87c64ec11e;2025-01-01;8777;658;73
fd9cde0b-4efe-4e10-b1d6-05757c4b4e7b;b501edd7-01ed-4c9f-8968-e620beb8ad23;2025-01-01;2167;446;62
670b2315-0843-4327-9db4-b7a1702cbcf5;f313355b-0da7-4d6a-b0b6-7f31a47dea02;2025-01-01;7303;77;13
6e6144ff-e8ce-4fdd-8fc0-4d6bb125e7de;eebdbc5a-95da-4ec9-b66e-57bcf2087351;2025-01-01;1246;995;95
5771bdbd-bb05-42ac-aa24-541e735c9138;d386dd3a-12a6-4f54-bd0d-eb6696361dca;2025-01-01;5634;579;50
6ebf4edd-cf4f-4790-91cf-ed5f648eeac2;41c85226-edf0-4f3a-8c61-45e2c0b9373e;2025-01-01;6603;576;29
8b6e954c-c57d-4edd-9c15-ba7d2a888914;c5833dde-acf3-4abd-ac8c-c058f3019116;2025-01-01;7723;305;6
039015c3-acc1-4402-aeb3-3791eff2ba63;a4a8b192-91f3-4c3b-9c22-6124dc5c3ca3;2025-01-01;1404;118;69
5accccb0-be24-4db8-9486-c95c2ba39f5c;dc2a26b3-3226-4ca9-aa73-cf40a75da05e;2025-01-01;3415;613;72
f9fe6615-fb27-420a-baf6-d7cc38e60978;f42ef134-9ad9-4292-92cd-aff7160a422a;2025-01-01;1707;358;28
31e06608-683d-448b-aa95-0cc864526ac2;9e15e58b-7b78-409f-8b0a-989f5d350967;2025-01-01;8599;721;84
35b6f56e-765c-4522-a090-d395f618b2f6;850bf9ac-f11e-4581-b817-9db557dcb8cb;2025-01-01;9245;735;90
0379000e-3caa-4905-b837-83c5bd732ed5;278380d5-c6e4-4385-b3d6-cf1abf9493a0;2025-01-01;527;86;31
a9fc5ad7-3d22-49ac-9c81-25f9e5897a2a;dfc0fb7f-9777-4346-80b7-23b10132e1fe;2025-01-01;7062;421;93
